예보일시,시도명,시군구명,읍면동명,실효습도,풍속,등급
2017-02-12 17:00,전라남도,여수시,오림동,36.2,7.2,주의보
2017-02-12 17:00,전라남도,여수시,신기동,37.3,7.1,주의보
2017-02-12 17:00,전라남도,여수시,평여동,39.9,7.2,주의보
2017-02-12 17:00,전라남도,여수시,호명동,38.7,7.3,주의보
2017-02-12 17:00,전라남도,여수시,돌산읍,38.3,9.1,주의보
2017-02-12 18:00,전라남도,여수시,돌산읍,37.9,8.7,주의보
2017-02-12 19:00,전라남도,여수시,돌산읍,37.7,7.9,주의보
2017-02-13 17:00,전라남도,여수시,돌산읍,36,7,주의보
2017-02-14 10:00,전라남도,여수시,소라면,40.8,7.5,주의보
2017-02-14 10:00,전라남도,여수시,소라면,41.3,7.7,주의보
2017-02-14 10:00,전라남도,여수시,소라면,43,7.2,주의보
2017-02-14 10:00,전라남도,여수시,소라면,41.9,7.7,주의보
2017-02-14 11:00,전라남도,여수시,소라면,40.4,7,주의보
2017-02-15 20:00,경상북도,울진군,기성면,39.7,7.2,주의보
2017-02-16 9:00,강원도,고성군,토성면,35.1,8.4,주의보
2017-02-16 10:00,강원도,속초시,설악동,34.8,8.1,주의보
2017-02-16 10:00,강원도,고성군,토성면,34.7,7.2,주의보
2017-02-16 10:00,강원도,양양군,서면,26.6,7.2,주의보
2017-02-16 10:00,강원도,양양군,서면,27.4,7.9,주의보
2017-02-16 11:00,강원도,속초시,설악동,34.2,7.7,주의보
2017-02-16 11:00,강원도,인제군,인제읍,39.7,7.5,주의보
2017-02-16 11:00,강원도,인제군,북면,32.6,7.3,주의보
2017-02-16 11:00,강원도,인제군,북면,28.9,7.8,주의보
2017-02-16 11:00,강원도,인제군,북면,33.2,7.9,주의보
2017-02-16 11:00,강원도,고성군,토성면,34.2,7.1,주의보
2017-02-16 11:00,강원도,양양군,서면,27.1,7.6,주의보
2017-02-16 11:00,강원도,양양군,서면,26.2,7.3,주의보
2017-02-16 11:00,강원도,양양군,서면,38.4,7.2,주의보
2017-02-16 11:00,경상북도,울진군,서면,41,7.3,주의보
2017-02-16 11:00,경상북도,울진군,서면,36.9,7.1,주의보
2017-02-16 11:00,경상북도,울진군,서면,37.9,7.5,주의보
2017-02-16 12:00,강원도,속초시,설악동,33.7,7.9,주의보
2017-02-16 12:00,강원도,삼척시,도계읍,30.3,8,주의보
2017-02-16 12:00,강원도,인제군,인제읍,39.1,7.2,주의보
2017-02-16 12:00,강원도,인제군,북면,32.5,7.6,주의보
2017-02-16 12:00,강원도,인제군,북면,28.6,7.6,주의보
2017-02-16 12:00,강원도,인제군,북면,32.8,8.1,주의보
2017-02-16 12:00,강원도,고성군,토성면,33.8,7.7,주의보
2017-02-16 12:00,강원도,양양군,서면,26.8,7.3,주의보
2017-02-16 12:00,강원도,양양군,서면,37.8,7,주의보
2017-02-16 12:00,경상북도,경주시,천군동,42.2,7.9,주의보
2017-02-16 12:00,경상북도,울진군,서면,40.3,7.2,주의보
2017-02-16 12:00,경상북도,울진군,서면,36.3,7,주의보
2017-02-16 12:00,경상북도,울진군,서면,37.2,7.3,주의보
2017-02-16 13:00,강원도,속초시,설악동,33.4,7.9,주의보
2017-02-16 13:00,강원도,삼척시,도계읍,29.9,8.3,주의보
2017-02-16 13:00,강원도,인제군,인제읍,38.8,7.5,주의보
2017-02-16 13:00,강원도,인제군,북면,32.7,8.4,주의보
2017-02-16 13:00,강원도,인제군,북면,32.5,8.1,주의보
2017-02-16 13:00,강원도,인제군,북면,28.5,7.8,주의보
2017-02-16 13:00,강원도,고성군,토성면,33.6,8,주의보
